[s],CH1[V]
-1.3758E-04,-2.77363E-03
-1.3756E-04,-6.37363E-03
-1.3754E-04,-9.97363E-03
-1.3752E-04,-1.33736E-02
-1.3750E-04,-1.73736E-02
-1.3748E-04,-2.07736E-02
-1.3746E-04,-2.45736E-02
-1.3744E-04,-2.75736E-02
-1.3742E-04,-3.09736E-02
-1.3740E-04,-3.37736E-02
-1.3738E-04,-3.67736E-02
-1.3736E-04,-3.89736E-02
-1.3734E-04,-4.17736E-02
-1.3732E-04,-4.37736E-02
-1.3730E-04,-4.55736E-02
-1.3728E-04,-4.69736E-02
-1.3726E-04,-4.83736E-02
-1.3724E-04,-4.93736E-02
-1.3722E-04,-5.01736E-02
-1.3720E-04,-5.03736E-02
-1.3718E-04,-5.01736E-02
-1.3716E-04,-4.99736E-02
-1.3714E-04,-5.01736E-02
-1.3712E-04,-4.89736E-02
-1.3710E-04,-4.77736E-02
-1.3708E-04,-4.63736E-02
-1.3706E-04,-4.43736E-02
-1.3704E-04,-4.27736E-02
-1.3702E-04,-4.03736E-02
-1.3700E-04,-3.79736E-02
-1.3698E-04,-3.55736E-02
-1.3696E-04,-3.25736E-02
-1.3694E-04,-2.91736E-02
-1.3692E-04,-2.61736E-02
-1.3690E-04,-2.25736E-02
-1.3688E-04,-1.91736E-02
-1.3686E-04,-1.53736E-02
-1.3684E-04,-1.17736E-02
-1.3682E-04,-7.97363E-03
-1.3680E-04,-3.97363E-03
-1.3678E-04,2.63692E-05
-1.3676E-04,3.62637E-03
-1.3674E-04,7.42637E-03
-1.3672E-04,1.12264E-02
-1.3670E-04,1.52264E-02
-1.3668E-04,1.86264E-02
-1.3666E-04,2.22264E-02
-1.3664E-04,2.50264E-02
-1.3662E-04,2.86264E-02
-1.3660E-04,3.14264E-02
-1.3658E-04,3.46264E-02
-1.3656E-04,3.66264E-02
-1.3654E-04,3.96264E-02
-1.3652E-04,4.10264E-02
-1.3650E-04,4.26264E-02
-1.3648E-04,4.36264E-02
-1.3646E-04,4.60264E-02
-1.3644E-04,4.70264E-02
-1.3642E-04,4.68264E-02
-1.3640E-04,4.78264E-02
-1.3638E-04,4.84264E-02
-1.3636E-04,4.74264E-02
-1.3634E-04,4.72264E-02
-1.3632E-04,4.58264E-02
-1.3630E-04,4.54264E-02
-1.3628E-04,4.40264E-02
-1.3626E-04,4.16264E-02
-1.3624E-04,4.04264E-02
-1.3622E-04,3.76264E-02
-1.3620E-04,3.54264E-02
-1.3618E-04,3.32264E-02
-1.3616E-04,3.00264E-02
-1.3614E-04,2.66264E-02
-1.3612E-04,2.32264E-02
-1.3610E-04,2.06264E-02
-1.3608E-04,1.66264E-02
-1.3606E-04,1.30264E-02
-1.3604E-04,9.62637E-03
-1.3602E-04,5.82637E-03
-1.3600E-04,1.42637E-03
-1.3598E-04,-2.37363E-03
-1.3596E-04,-5.97363E-03
-1.3594E-04,-1.01736E-02
-1.3592E-04,-1.35736E-02
-1.3590E-04,-1.73736E-02
-1.3588E-04,-2.13736E-02
-1.3586E-04,-2.43736E-02
-1.3584E-04,-2.79736E-02
-1.3582E-04,-3.09736E-02
-1.3580E-04,-3.39736E-02
-1.3578E-04,-3.69736E-02
-1.3576E-04,-3.91736E-02
-1.3574E-04,-4.17736E-02
-1.3572E-04,-4.41736E-02
-1.3570E-04,-4.53736E-02
-1.3568E-04,-4.65736E-02
-1.3566E-04,-4.79736E-02
-1.3564E-04,-4.97736E-02
-1.3562E-04,-4.99736E-02
-1.3560E-04,-5.01736E-02
-1.3558E-04,-5.09736E-02
-1.3556E-04,-4.99736E-02
-1.3554E-04,-4.91736E-02
-1.3552E-04,-4.93736E-02
-1.3550E-04,-4.77736E-02
-1.3548E-04,-4.59736E-02
-1.3546E-04,-4.41736E-02
-1.3544E-04,-4.27736E-02
-1.3542E-04,-4.07736E-02
-1.3540E-04,-3.79736E-02
-1.3538E-04,-3.51736E-02
-1.3536E-04,-3.25736E-02
-1.3534E-04,-2.91736E-02
-1.3532E-04,-2.61736E-02
-1.3530E-04,-2.31736E-02
-1.3528E-04,-1.91736E-02
-1.3526E-04,-1.49736E-02
-1.3524E-04,-1.17736E-02
-1.3522E-04,-7.77363E-03
-1.3520E-04,-3.77363E-03
-1.3518E-04,-3.73631E-04
-1.3516E-04,4.02637E-03
-1.3514E-04,7.42637E-03
-1.3512E-04,1.12264E-02
-1.3510E-04,1.54264E-02
-1.3508E-04,1.86264E-02
-1.3506E-04,2.22264E-02
-1.3504E-04,2.54264E-02
-1.3502E-04,2.84264E-02
-1.3500E-04,3.20264E-02
-1.3498E-04,3.44264E-02
-1.3496E-04,3.70264E-02
-1.3494E-04,3.94264E-02
-1.3492E-04,4.12264E-02
