[Hz],FFT[dBm]
0.00000000E+00,-4.61054E+01
6.10351562E+03,-4.90054E+01
1.22070312E+04,-7.88854E+01
1.83105469E+04,-4.93654E+01
2.44140625E+04,-4.20854E+01
3.05175781E+04,-4.68654E+01
3.66210938E+04,-7.69254E+01
4.27246094E+04,-8.93654E+01
4.88281250E+04,-8.70054E+01
5.49316406E+04,-8.01654E+01
6.10351562E+04,-7.37654E+01
6.71386719E+04,-5.11854E+01
7.32421875E+04,-4.11054E+01
7.93457031E+04,-4.35454E+01
8.54492188E+04,-6.27054E+01
9.15527344E+04,-7.87654E+01
9.76562500E+04,-8.59654E+01
1.03759766E+05,-8.36254E+01
1.09863281E+05,-7.60254E+01
1.15966797E+05,-5.79254E+01
1.22070312E+05,-4.45454E+01
1.28173828E+05,-4.48054E+01
1.34277344E+05,-5.93054E+01
1.40380859E+05,-7.67054E+01
1.46484375E+05,-8.47054E+01
1.52587891E+05,-8.56654E+01
1.58691406E+05,-7.43254E+01
1.64794922E+05,-5.99654E+01
1.70898438E+05,-4.15654E+01
1.77001953E+05,-3.95454E+01
1.83105469E+05,-5.03454E+01
1.89208984E+05,-7.17054E+01
1.95312500E+05,-7.20654E+01
2.01416016E+05,-7.94654E+01
2.07519531E+05,-8.61254E+01
2.13623047E+05,-7.54654E+01
2.19726562E+05,-4.87054E+01
2.25830078E+05,-4.44254E+01
2.31933594E+05,-5.23054E+01
2.38037109E+05,-7.87254E+01
2.44140625E+05,-8.57854E+01
2.50244141E+05,-9.52854E+01
2.56347656E+05,-8.84654E+01
2.62451172E+05,-7.75254E+01
2.68554688E+05,-4.35854E+01
2.74658203E+05,-3.68054E+01
2.80761719E+05,-4.20854E+01
2.86865234E+05,-7.64854E+01
2.92968750E+05,-8.89454E+01
2.99072266E+05,-9.20054E+01
3.05175781E+05,-8.68454E+01
3.11279297E+05,-7.69054E+01
3.17382812E+05,-5.51254E+01
3.23486328E+05,-4.56054E+01
3.29589844E+05,-4.85254E+01
3.35693359E+05,-6.96254E+01
3.41796875E+05,-9.16254E+01
3.47900391E+05,-8.22454E+01
3.54003906E+05,-7.63654E+01
3.60107422E+05,-6.57054E+01
3.66210938E+05,-4.78254E+01
3.72314453E+05,-3.50254E+01
3.78417969E+05,-3.57054E+01
3.84521484E+05,-5.09654E+01
3.90625000E+05,-6.69254E+01
3.96728516E+05,-7.73254E+01
4.02832031E+05,-8.37054E+01
4.08935547E+05,-7.98254E+01
4.15039062E+05,-6.53054E+01
4.21142578E+05,-4.83854E+01
4.27246094E+05,-4.68454E+01
4.33349609E+05,-5.84254E+01
4.39453125E+05,-7.88054E+01
4.45556641E+05,-8.59654E+01
4.51660156E+05,-8.10854E+01
4.57763672E+05,-7.13054E+01
4.63867188E+05,-5.77454E+01
4.69970703E+05,-3.35054E+01
4.76074219E+05,-2.97054E+01
4.82177734E+05,-3.81254E+01
4.88281250E+05,-6.33054E+01
4.94384766E+05,-7.32654E+01
5.00488281E+05,-8.23854E+01
5.06591797E+05,-8.29254E+01
5.12695312E+05,-8.99654E+01
5.18798828E+05,-5.29654E+01
5.24902344E+05,-4.68854E+01
5.31005859E+05,-5.25254E+01
5.37109375E+05,-8.20854E+01
5.43212891E+05,-7.66454E+01
5.49316406E+05,-7.15254E+01
5.55419922E+05,-6.37654E+01
5.61523438E+05,-5.29254E+01
5.67626953E+05,-2.91854E+01
5.73730469E+05,-2.02654E+01
5.79833984E+05,-2.37054E+01
5.85937500E+05,-4.61854E+01
5.92041016E+05,-5.97654E+01
5.98144531E+05,-6.84254E+01
6.04248047E+05,-7.36654E+01
6.10351562E+05,-7.73054E+01
6.16455078E+05,-6.08454E+01
6.22558594E+05,-4.84654E+01
6.28662109E+05,-4.98854E+01
6.34765625E+05,-6.49054E+01
6.40869141E+05,-7.14454E+01
6.46972656E+05,-6.91054E+01
6.53076172E+05,-6.28254E+01
6.59179688E+05,-5.37254E+01
6.65283203E+05,-3.81654E+01
6.71386719E+05,-2.20854E+01
6.77490234E+05,-2.10254E+01
6.83593750E+05,-3.31854E+01
6.89697266E+05,-5.16854E+01
6.95800781E+05,-6.14254E+01
7.01904297E+05,-6.88454E+01
7.08007812E+05,-7.28654E+01
7.14111328E+05,-7.26454E+01
7.20214844E+05,-5.18054E+01
7.26318359E+05,-4.83854E+01
7.32421875E+05,-5.75054E+01
7.38525391E+05,-8.01454E+01
7.44628906E+05,-9.10654E+01
7.50732422E+05,-9.44854E+01
7.56835938E+05,-9.10454E+01
7.62939453E+05,-7.78654E+01
7.69042969E+05,-3.53854E+01
