[Hz],FFT[dBm]
0.0000000E+00,-4.43254E+01
3.0517578E+02,-4.73054E+01
6.1035156E+02,-8.65854E+01
9.1552734E+02,-9.29654E+01
1.2207031E+03,-9.53454E+01
1.5258789E+03,-9.42854E+01
1.8310547E+03,-9.56654E+01
2.1362305E+03,-9.67054E+01
2.4414062E+03,-1.00905E+02
2.7465820E+03,-1.04725E+02
3.0517578E+03,-1.08545E+02
3.3569336E+03,-9.60054E+01
3.6621094E+03,-9.44254E+01
3.9672852E+03,-9.79254E+01
4.2724609E+03,-9.92454E+01
4.5776367E+03,-1.02745E+02
4.8828125E+03,-1.04565E+02
5.1879883E+03,-1.03225E+02
5.4931641E+03,-1.10125E+02
5.7983398E+03,-9.82654E+01
6.1035156E+03,-1.02065E+02
6.4086914E+03,-1.24005E+02
6.7138672E+03,-1.00625E+02
7.0190430E+03,-1.01105E+02
7.3242188E+03,-9.64254E+01
7.6293945E+03,-9.67054E+01
7.9345703E+03,-1.04265E+02
8.2397461E+03,-9.60254E+01
8.5449219E+03,-9.27654E+01
8.8500977E+03,-9.57254E+01
9.1552734E+03,-9.80054E+01
9.4604492E+03,-9.95854E+01
9.7656250E+03,-9.96254E+01
1.0070801E+04,-1.06525E+02
1.0375977E+04,-1.01425E+02
1.0681152E+04,-9.92054E+01
1.0986328E+04,-1.00305E+02
1.1291504E+04,-9.87654E+01
1.1596680E+04,-1.00165E+02
1.1901855E+04,-1.03225E+02
1.2207031E+04,-9.78454E+01
1.2512207E+04,-9.84254E+01
1.2817383E+04,-1.00265E+02
1.3122559E+04,-1.15525E+02
1.3427734E+04,-1.01065E+02
1.3732910E+04,-9.56054E+01
1.4038086E+04,-9.88854E+01
1.4343262E+04,-1.15665E+02
1.4648438E+04,-1.04845E+02
1.4953613E+04,-9.74054E+01
1.5258789E+04,-9.71454E+01
1.5563965E+04,-9.52854E+01
1.5869141E+04,-9.66854E+01
1.6174316E+04,-9.33054E+01
1.6479492E+04,-1.02565E+02
1.6784668E+04,-9.91654E+01
1.7089844E+04,-1.05365E+02
1.7395020E+04,-1.20925E+02
1.7700195E+04,-1.03705E+02
1.8005371E+04,-9.91654E+01
1.8310547E+04,-9.82054E+01
1.8615723E+04,-9.65254E+01
1.8920898E+04,-9.68854E+01
1.9226074E+04,-1.13465E+02
1.9531250E+04,-9.52054E+01
1.9836426E+04,-9.24254E+01
2.0141602E+04,-9.72454E+01
2.0446777E+04,-1.00045E+02
2.0751953E+04,-9.65254E+01
2.1057129E+04,-9.54254E+01
2.1362305E+04,-1.00905E+02
2.1667480E+04,-9.77454E+01
2.1972656E+04,-9.72654E+01
2.2277832E+04,-1.05885E+02
2.2583008E+04,-1.02305E+02
2.2888184E+04,-9.97454E+01
2.3193359E+04,-1.02205E+02
2.3498535E+04,-9.68454E+01
2.3803711E+04,-9.21254E+01
2.4108887E+04,-9.86254E+01
2.4414062E+04,-9.96654E+01
2.4719238E+04,-8.82454E+01
2.5024414E+04,-8.30254E+01
2.5329590E+04,-8.67454E+01
2.5634766E+04,-9.65054E+01
2.5939941E+04,-1.01185E+02
2.6245117E+04,-1.00405E+02
2.6550293E+04,-1.01685E+02
2.6855469E+04,-1.08385E+02
2.7160645E+04,-9.68854E+01
2.7465820E+04,-9.70654E+01
2.7770996E+04,-9.98254E+01
2.8076172E+04,-1.04185E+02
2.8381348E+04,-1.13365E+02
2.8686523E+04,-1.07285E+02
2.8991699E+04,-1.08925E+02
2.9296875E+04,-1.05105E+02
2.9602051E+04,-1.07885E+02
2.9907227E+04,-9.94854E+01
3.0212402E+04,-1.00645E+02
3.0517578E+04,-9.52654E+01
3.0822754E+04,-9.58054E+01
3.1127930E+04,-1.00485E+02
3.1433105E+04,-1.00225E+02
3.1738281E+04,-9.90054E+01
3.2043457E+04,-9.93254E+01
3.2348633E+04,-9.83854E+01
3.2653809E+04,-1.03085E+02
3.2958984E+04,-9.78854E+01
3.3264160E+04,-9.67254E+01
3.3569336E+04,-9.41454E+01
3.3874512E+04,-9.33654E+01
3.4179688E+04,-9.19054E+01
3.4484863E+04,-9.68454E+01
3.4790039E+04,-1.00685E+02
3.5095215E+04,-1.00085E+02
3.5400391E+04,-1.06745E+02
3.5705566E+04,-1.04965E+02
3.6010742E+04,-9.94854E+01
3.6315918E+04,-9.79454E+01
3.6621094E+04,-1.10405E+02
3.6926270E+04,-1.00425E+02
3.7231445E+04,-1.05325E+02
3.7536621E+04,-1.00985E+02
3.7841797E+04,-9.56254E+01
3.8146973E+04,-9.62454E+01
3.8452148E+04,-1.03085E+02
3.8757324E+04,-9.82654E+01
3.9062500E+04,-9.88054E+01
3.9367676E+04,-9.78054E+01
3.9672852E+04,-9.79854E+01
3.9978027E+04,-9.56854E+01
4.0283203E+04,-1.03505E+02
4.0588379E+04,-9.61854E+01
4.0893555E+04,-9.59054E+01
4.1198730E+04,-1.08505E+02
4.1503906E+04,-9.58254E+01
4.1809082E+04,-8.96454E+01
4.2114258E+04,-9.42854E+01
4.2419434E+04,-1.02905E+02
4.2724609E+04,-1.11585E+02
4.3029785E+04,-9.54054E+01
4.3334961E+04,-9.62854E+01
4.3640137E+04,-9.83854E+01
4.3945312E+04,-1.05505E+02
4.4250488E+04,-9.77254E+01
4.4555664E+04,-9.64454E+01
4.4860840E+04,-9.95454E+01
4.5166016E+04,-9.96254E+01
4.5471191E+04,-1.06865E+02
4.5776367E+04,-9.63054E+01
4.6081543E+04,-1.03365E+02
4.6386719E+04,-1.14265E+02
4.6691895E+04,-1.01485E+02
4.6997070E+04,-1.04785E+02
4.7302246E+04,-1.02825E+02
4.7607422E+04,-1.01865E+02
4.7912598E+04,-9.83854E+01
4.8217773E+04,-1.02865E+02
4.8522949E+04,-1.01885E+02
4.8828125E+04,-1.04225E+02
4.9133301E+04,-1.12705E+02
4.9438477E+04,-1.00485E+02
4.9743652E+04,-9.45854E+01
5.0048828E+04,-9.10054E+01
5.0354004E+04,-9.25254E+01
5.0659180E+04,-9.85454E+01
5.0964355E+04,-1.01985E+02
5.1269531E+04,-9.83054E+01
5.1574707E+04,-1.05505E+02
5.1879883E+04,-1.07425E+02
5.2185059E+04,-1.07305E+02
5.2490234E+04,-1.03025E+02
5.2795410E+04,-1.09565E+02
5.3100586E+04,-1.01385E+02
5.3405762E+04,-1.00705E+02
5.3710938E+04,-1.00905E+02
5.4016113E+04,-1.05345E+02
5.4321289E+04,-1.02705E+02
5.4626465E+04,-1.09005E+02
5.4931641E+04,-1.09225E+02
5.5236816E+04,-1.00205E+02
5.5541992E+04,-9.96454E+01
5.5847168E+04,-1.03925E+02
5.6152344E+04,-1.03465E+02
5.6457520E+04,-1.11245E+02
5.6762695E+04,-9.82854E+01
5.7067871E+04,-9.30854E+01
5.7373047E+04,-1.00105E+02
5.7678223E+04,-1.03405E+02
5.7983398E+04,-1.04645E+02
5.8288574E+04,-1.01405E+02
5.8593750E+04,-1.08145E+02
5.8898926E+04,-9.99854E+01
5.9204102E+04,-9.96654E+01
5.9509277E+04,-9.96054E+01
5.9814453E+04,-9.73654E+01
6.0119629E+04,-1.02125E+02
6.0424805E+04,-1.02985E+02
6.0729980E+04,-1.00545E+02
6.1035156E+04,-9.74254E+01
6.1340332E+04,-1.01585E+02
6.1645508E+04,-9.91254E+01
6.1950684E+04,-1.00165E+02
6.2255859E+04,-8.95254E+01
6.2561035E+04,-8.89254E+01
6.2866211E+04,-9.22054E+01
6.3171387E+04,-9.00654E+01
6.3476562E+04,-8.90654E+01
6.3781738E+04,-9.01254E+01
6.4086914E+04,-8.66854E+01
6.4392090E+04,-8.70054E+01
6.4697266E+04,-9.42254E+01
6.5002441E+04,-8.98054E+01
6.5307617E+04,-8.62254E+01
6.5612793E+04,-9.17054E+01
6.5917969E+04,-1.00465E+02
6.6223145E+04,-9.52654E+01
6.6528320E+04,-9.54254E+01
6.6833496E+04,-9.75854E+01
6.7138672E+04,-1.01025E+02
6.7443848E+04,-1.00185E+02
6.7749023E+04,-1.00465E+02
6.8054199E+04,-1.07905E+02
6.8359375E+04,-9.78054E+01
6.8664551E+04,-9.84854E+01
6.8969727E+04,-1.14145E+02
6.9274902E+04,-1.03265E+02
6.9580078E+04,-1.11225E+02
6.9885254E+04,-1.03665E+02
7.0190430E+04,-1.09925E+02
7.0495605E+04,-1.03445E+02
7.0800781E+04,-9.66854E+01
7.1105957E+04,-9.80054E+01
7.1411133E+04,-9.96454E+01
7.1716309E+04,-1.02625E+02
7.2021484E+04,-1.02225E+02
7.2326660E+04,-1.04045E+02
7.2631836E+04,-9.67254E+01
7.2937012E+04,-1.10705E+02
7.3242188E+04,-9.95254E+01
7.3547363E+04,-9.71054E+01
7.3852539E+04,-1.00505E+02
7.4157715E+04,-9.96654E+01
7.4462891E+04,-9.16854E+01
7.4768066E+04,-9.23254E+01
7.5073242E+04,-9.01454E+01
7.5378418E+04,-9.35454E+01
7.5683594E+04,-9.60254E+01
7.5988770E+04,-1.00825E+02
7.6293945E+04,-9.95454E+01
7.6599121E+04,-1.06605E+02
7.6904297E+04,-1.06025E+02
7.7209473E+04,-1.01545E+02
7.7514648E+04,-1.01025E+02
7.7819824E+04,-1.14445E+02
7.8125000E+04,-1.04005E+02
7.8430176E+04,-1.06305E+02
7.8735352E+04,-9.73254E+01
7.9040527E+04,-1.01005E+02
7.9345703E+04,-1.00265E+02
7.9650879E+04,-9.83054E+01
7.9956055E+04,-9.82654E+01
8.0261230E+04,-1.04965E+02
8.0566406E+04,-1.28245E+02
8.0871582E+04,-1.09105E+02
8.1176758E+04,-1.07325E+02
8.1481934E+04,-1.02525E+02
8.1787109E+04,-1.00925E+02
8.2092285E+04,-1.00585E+02
8.2397461E+04,-9.92654E+01
8.2702637E+04,-1.05805E+02
8.3007812E+04,-9.73254E+01
8.3312988E+04,-9.39654E+01
8.3618164E+04,-9.49454E+01
8.3923340E+04,-9.64054E+01
8.4228516E+04,-9.75054E+01
8.4533691E+04,-1.08025E+02
8.4838867E+04,-9.49254E+01
